WSI,NAME,LNG,LAT
0-203-0-11474,Lány,13.952337,50.124148
0-203-0-11478,"Zbiroh, Švabín",13.751748,49.853987
0-203-0-11483,Rožmitál pod Třemšínem,13.8664,49.605
0-203-0-11485,Příbram,14.022433,49.694602
0-203-0-11486,Nepomuk,13.589389,49.486924
0-203-0-11488,Blatná,13.8731,49.4333
0-203-0-11490,Vlkonice,13.5897,49.3022
0-203-0-11491,"Strakonice, Nové Strakonice",13.8827,49.2546
0-203-0-11492,Sušice,13.5261728,49.23768
0-203-0-11493,Kašperské Hory,13.55,49.145556
0-203-0-11494,Horská Kvilda,13.5652533,49.0533197
0-203-0-11497,Husinec,13.9883,49.0522
0-203-0-11501,Děčín,14.20258,50.75097
0-203-0-11501028001,Lobendava,14.31347,51.01965
0-203-0-11501049001,Šluknov,14.45525,51.002722
0-203-0-11502020001,"Petrovice, Krásný Les",13.937667,50.767361
0-203-0-11503,"Ústí nad Labem, Vaňov",14.05831,50.62556
0-203-0-11503029001,"Český Jiřetín, Fláje",13.58558,50.68706
0-203-0-11504,Sněžník,14.08536,50.79683
0-203-0-11510,Kralupy nad Vltavou,14.289786,50.241923
0-203-0-11514,"Praha, Klementinum",14.416923,50.086634
0-203-0-11515,"Praha, Klementinum",14.416436,50.086341
0-203-0-11521,Dobřichovice,14.27585,49.9335
0-203-0-11522,Neumětely,14.037548,49.854272
0-203-0-11525,Kamýk nad Vltavou,14.24637,49.63234
0-203-0-11526,"Nedrahovice, Rudolec",14.440088,49.631723
0-203-0-11528,"Nadějkov, Větrov",14.4653,49.5169
0-203-0-11532,Vráž,14.1288047,49.3845275
0-203-0-11535,Bechyně,14.469444,49.299444
0-203-0-11539,Chelčice,14.169367,49.119265
0-203-0-11545,"Český Krumlov, Přísečná",14.33935,48.832242
0-203-0-11547,Černá v Pošumaví,14.1073211,48.7355761
0-203-0-11549,Vyšší Brod,14.3141131,48.6177092
0-203-0-11551,Varnsdorf,14.60222,50.90556
0-203-0-11552,Jablonné v Podještědí,14.77375,50.77206
0-203-0-11554,Česká Lípa,14.541141,50.675373
0-203-0-11556,"Český Dub, Modlibohov",14.981635,50.683677
0-203-0-11557,Stráž pod Ralskem,14.80739,50.70361
0-203-0-11558,Doksy,14.66731,50.56811
0-203-0-11559,"Kořenov, Jizerka",15.344272,50.819878
0-203-0-11561,Semčice,15.0036,50.3671
0-203-0-11562,Tuhaň,14.520416,50.29582
0-203-0-11563,Brandýs nad Labem-St.B,14.660559,50.189691
0-203-0-11571,Jílové u Prahy,14.489046,49.907837
0-203-0-11572,Ondřejov,14.784964,49.906761
0-203-0-11573,Benešov,14.69668,49.78862
0-203-0-11574,Netvořice,14.521178,49.818411
0-203-0-11578,"Vavřinec, Žíšov",15.067741,49.902888
0-203-0-11581,Hlasivo,14.7561,49.4981
0-203-0-11582,"Tábor, Měšice",14.702389,49.41
0-203-0-11583,"Černovice, Dobešov",14.9625,49.3575
0-203-0-11585,Borkovice,14.636825,49.207925
0-203-0-11589,"Třeboň, Lužnice",14.7585975,49.0617575
0-203-0-11591,"Rudolfov, Jivno",14.579722,49.003611
0-203-0-11593,Byňov,14.799947,48.816603
0-203-0-11595,Římov,14.4889,48.8494
0-203-0-11601,Frýdlant,15.09015,50.91785
0-203-0-11602,Bedřichov,15.13708,50.81511
0-203-0-11604,Nové Město pod Smrkem,15.23381,50.92358
0-203-0-11605,"Desná, Souš",15.319286,50.789354
0-203-0-11606,Harrachov,15.420036,50.781746
0-203-0-11608,Hejnice,15.18317,50.88456
0-203-0-11610,Turnov,15.154434,50.589631
0-203-0-11611,Holenice,15.302136,50.53026
0-203-0-11612,Holovousy,15.5810108,50.375735
0-203-0-11617,Poděbrady,15.133554,50.140503
0-203-0-11620,Seč,15.6479,49.844725
0-203-0-11621,Radovesnice II.,15.368164,50.106526
0-203-0-11622,"Čáslav, Nové město",15.3942797,49.901695
0-203-0-11623,Mokošín,15.56668,50.016395
0-203-0-11625,Nový Bydžov,15.497443,50.237553
0-203-0-11626,Hulice,15.086667,49.721111
0-203-0-11632,Nový Rychnov,15.365095,49.385922
0-203-0-11633,Luční bouda,15.697859,50.735318
0-203-0-11634,Počátky,15.2340794,49.2605217
0-203-0-11635,"Jindřichův Hradec, Děbolín",14.9575,49.1556
0-203-0-11637,Vrchlabí,15.646389,50.622778
0-203-0-11639,Lázně Bělohrad,15.588567,50.427437
0-203-0-11640,Labská bouda,15.544927,50.769883
0-203-0-11644,Benecko,15.5499,50.6713
0-203-0-11645,Trutnov,15.898311,50.558597
0-203-0-11649,"Hradec Králové, Nový Hradec Králové",15.838452,50.177649
0-203-0-11650,Dobřenice,15.638309,50.143231
0-203-0-11651,"Hradec Králové, Svobodné Dvory",15.787757,50.223004
0-203-0-11655,Libice nad Doubravou,15.704862,49.744164
0-203-0-11656,Havlíčkův Brod,15.579696,49.61188
0-203-0-11660,Vatín,15.96806,49.52306
0-203-0-11662,Hubenov,15.4669,49.3931
0-203-0-11667,Moravské Budějovice,15.8067,49.0611
0-203-0-11670,Žamberk,16.45477,50.069195
0-203-0-11671,Broumov,16.343617,50.569966
0-203-0-11674,Deštné v Orlic. horách,16.351959,50.306667
0-203-0-11675,Úpice,16.011618,50.506419
0-203-0-11676,Rokytnice v Orlic.horách,16.460258,50.164432
0-203-0-11678,Velichovky,15.832503,50.356612
0-203-0-11680,Rychnov nad Kněžnou,16.270033,50.164879
0-203-0-11684,"Gajer, Janov",16.406667,49.824722
0-203-0-11685,Nedvězí,16.3097,49.6344
0-203-0-11686,Bystřice nad Pernštejnem,16.25401,49.52416
0-203-0-11687,Velké Meziříčí,16.0086,49.3528
0-203-0-11691,Náměšť nad Oslavou,16.144155,49.2101581
0-203-0-11695,Troubsko,16.5074,49.1745
0-203-0-11696,Dyjákovice,16.2925,48.769
0-203-0-11701,Javorník,17.0075,50.3956
0-203-0-11703,"Staré Město pod Sněžníkem, Kunčice",16.943146,50.1925131
